Geographic Level,Location,Date,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More
Metro,Salinas,2016-06,33,28,0,0,5
Metro,San Diego,2016-06,1075,274,14,12,775
Metro,San Francisco,2016-06,952,457,6,10,479
Metro,San Jose,2016-06,614,275,0,6,333
Metro,San Luis Obispo,2016-06,37,33,0,4,0
Metro,Santa Barbara,2016-06,16,3,0,0,13
Metro,Santa Cruz,2016-06,21,11,0,0,10
Metro,Santa Rosa,2016-06,86,86,0,0,0
Metro,Stockton,2016-06,174,174,0,0,0
Metro,Vallejo,2016-06,135,72,0,0,63
Metro,Ventura,2016-06,78,32,4,3,39
Metro,Visalia,2016-06,104,96,0,0,8
State,Alabama,2016-06,1653,988,0,0,665
State,Alaska,2016-06,137,106,10,7,14
State,Arizona,2016-06,4711,2570,52,15,2074
State,Arkansas,2016-06,951,560,34,3,354
State,California,2016-06,8987,5466,114,92,3315
State,Colorado,2016-06,3013,2157,12,18,826
State,Connecticut,2016-06,504,255,30,9,210
State,Delaware,2016-06,440,406,10,4,20
State,Florida,2016-06,9728,7008,112,112,2496
State,Georgia,2016-06,5473,3306,6,0,2161
State,Hawaii,2016-06,776,183,0,0,593
State,Idaho,2016-06,1031,894,8,32,97
State,Illinois,2016-06,1516,1084,24,47,361
State,Indiana,2016-06,1544,1394,84,14,52
State,Iowa,2016-06,1201,857,18,3,323
State,Kansas,2016-06,732,530,36,8,158
State,Kentucky,2016-06,1459,789,10,10,650
State,Louisiana,2016-06,1618,1271,4,0,343
State,Maine,2016-06,473,437,10,11,15
State,Maryland,2016-06,1590,1185,2,4,399
State,Massachusetts,2016-06,1479,787,34,25,633
State,Michigan,2016-06,2853,1790,122,41,900
State,Minnesota,2016-06,2168,1427,20,55,666
State,Mississippi,2016-06,643,582,16,4,41
State,Missouri,2016-06,1659,1103,60,106,390
State,Montana,2016-06,362,251,10,10,91
State,Nebraska,2016-06,617,499,2,8,108
State,Nevada,2016-06,1528,1204,2,6,316
State,New Hampshire,2016-06,364,315,14,4,31
State,New Jersey,2016-06,2248,834,64,23,1327
State,New Mexico,2016-06,462,445,4,8,5
State,New York,2016-06,4503,1281,92,80,3050
State,North Carolina,2016-06,5210,4186,2,4,1018
State,North Dakota,2016-06,381,265,10,31,75
State,Ohio,2016-06,2229,1574,54,47,554
State,Oklahoma,2016-06,1206,890,24,0,292
State,Oregon,2016-06,1271,998,50,11,212
State,Pennsylvania,2016-06,2436,1753,32,114,537
State,Rhode Island,2016-06,83,76,4,3,0
State,South Carolina,2016-06,3093,2423,42,4,624
State,South Dakota,2016-06,625,355,4,11,255
State,Tennessee,2016-06,2816,2254,18,28,516
State,Texas,2016-06,15477,10296,138,82,4961
State,Utah,2016-06,2328,1650,6,18,654
State,Vermont,2016-06,247,151,6,0,90
State,Virginia,2016-06,2608,1946,10,17,635
State,Washington,2016-06,4552,2301,78,69,2104
State,West Virginia,2016-06,284,199,4,14,67
State,Wisconsin,2016-06,2022,1174,84,49,715
State,Wyoming,2016-06,176,171,2,3,0
Metro,Bakersfield,2016-07,153,145,0,3,5
Metro,Chico,2016-07,31,26,0,0,5
Metro,El Centro,2016-07,5,5,0,0,0
Metro,Fresno,2016-07,177,145,12,4,16
Metro,Inland Empire,2016-07,744,666,0,17,61
Metro,Los Angeles,2016-07,2104,639,58,61,1346
Metro,Madera,2016-07,29,29,0,0,0
Metro,Merced,2016-07,11,11,0,0,0
Metro,Modesto,2016-07,5,5,0,0,0
Metro,Redding,2016-07,9,9,0,0,0
Metro,Sacramento,2016-07,492,398,2,0,92
Metro,Salinas,2016-07,25,25,0,0,0
Metro,San Diego,2016-07,399,182,34,18,165
Metro,San Francisco,2016-07,803,378,8,3,414
Metro,San Jose,2016-07,216,118,2,4,92
Metro,San Luis Obispo,2016-07,26,26,0,0,0
Metro,Santa Barbara,2016-07,4,4,0,0,0
Metro,Santa Cruz,2016-07,17,9,0,3,5
Metro,Santa Rosa,2016-07,28,28,0,0,0
Metro,Stockton,2016-07,94,94,0,0,0
Metro,Vallejo,2016-07,49,49,0,0,0
Metro,Ventura,2016-07,46,15,0,4,27
Metro,Visalia,2016-07,149,117,32,0,0
State,Alabama,2016-07,1024,919,6,0,99
State,Alaska,2016-07,121,85,10,11,15
State,Arizona,2016-07,2440,1820,26,11,583
State,Arkansas,2016-07,653,578,34,7,34
State,California,2016-07,6063,3570,148,117,2228
State,Colorado,2016-07,2868,1949,16,24,879
State,Connecticut,2016-07,285,232,4,0,49
State,Delaware,2016-07,420,367,12,0,41
State,Florida,2016-07,8950,6255,74,35,2586
State,Georgia,2016-07,3690,2869,6,4,811
State,Hawaii,2016-07,273,151,50,0,72
State,Idaho,2016-07,1105,784,24,19,278
State,Illinois,2016-07,2188,898,20,77,1193
State,Indiana,2016-07,1664,1189,82,7,386
State,Iowa,2016-07,702,469,14,16,203
State,Kansas,2016-07,922,409,32,3,478
State,Kentucky,2016-07,926,521,12,16,377
State,Louisiana,2016-07,1040,983,24,3,30
State,Maine,2016-07,471,357,12,39,63
State,Maryland,2016-07,1040,885,2,0,153
State,Massachusetts,2016-07,1330,604,50,9,667
State,Michigan,2016-07,2892,1474,10,10,1398
State,Minnesota,2016-07,2063,1266,42,84,671
State,Mississippi,2016-07,563,527,0,14,22
State,Missouri,2016-07,1522,828,14,59,621
State,Montana,2016-07,260,232,4,24,0
State,Nebraska,2016-07,779,424,4,0,351
State,Nevada,2016-07,1422,1035,12,11,364
State,New Hampshire,2016-07,259,232,6,3,18
State,New Jersey,2016-07,1588,776,56,27,729
State,New Mexico,2016-07,301,296,0,0,5
State,New York,2016-07,2941,1082,94,67,1698
State,North Carolina,2016-07,5922,3383,8,0,2531
State,North Dakota,2016-07,534,198,2,0,334
State,Ohio,2016-07,1822,1302,26,78,416
State,Oklahoma,2016-07,1072,712,24,44,292
State,Oregon,2016-07,2128,890,56,4,1178
State,Pennsylvania,2016-07,1363,1056,26,39,242
State,Rhode Island,2016-07,71,66,2,3,0
State,South Carolina,2016-07,2830,1924,6,28,872
State,South Dakota,2016-07,334,249,4,4,77
State,Tennessee,2016-07,2910,2032,8,8,862
State,Texas,2016-07,13977,8835,100,94,4948
State,Utah,2016-07,1700,1329,16,17,338
State,Vermont,2016-07,128,113,2,3,10
State,Virginia,2016-07,2459,1624,14,27,794
State,Washington,2016-07,3305,1970,130,42,1163
State,West Virginia,2016-07,254,173,2,0,79
State,Wisconsin,2016-07,1329,971,28,11,319
State,Wyoming,2016-07,155,134,2,7,12
Metro,Bakersfield,2016-08,170,164,0,0,6
Metro,Chico,2016-08,42,23,0,0,19
Metro,El Centro,2016-08,14,7,0,0,7
Metro,Fresno,2016-08,226,197,12,0,17
Metro,Inland Empire,2016-08,827,683,2,0,142
Metro,Los Angeles,2016-08,3406,787,68,63,2488
Metro,Madera,2016-08,29,29,0,0,0
Metro,Merced,2016-08,14,14,0,0,0
Metro,Modesto,2016-08,5,5,0,0,0
Metro,Redding,2016-08,13,13,0,0,0
Metro,Sacramento,2016-08,612,548,12,0,52
Metro,Salinas,2016-08,17,13,0,4,0
Metro,San Diego,2016-08,1285,197,4,40,1044
Metro,San Francisco,2016-08,861,391,12,20,438
Metro,San Jose,2016-08,398,187,0,19,192
Metro,San Luis Obispo,2016-08,149,48,0,0,101
Metro,Santa Barbara,2016-08,4,4,0,0,0
Metro,Santa Cruz,2016-08,21,11,0,0,10
Metro,Santa Rosa,2016-08,57,57,0,0,0
Metro,Stockton,2016-08,107,107,0,0,0
Metro,Vallejo,2016-08,66,66,0,0,0
Metro,Ventura,2016-08,53,16,0,4,33
Metro,Visalia,2016-08,100,100,0,0,0
State,Alabama,2016-08,1208,1081,12,3,112
State,Alaska,2016-08,123,92,8,11,12
State,Arizona,2016-08,2629,2132,32,22,443
State,Arkansas,2016-08,1010,691,46,20,253
State,California,2016-08,9223,4351,110,150,4612
State,Colorado,2016-08,2936,2053,12,6,865
State,Connecticut,2016-08,357,237,24,11,85
State,Delaware,2016-08,560,441,16,14,89
State,Florida,2016-08,10623,7403,92,105,3023
State,Georgia,2016-08,3846,3300,12,20,514
State,Hawaii,2016-08,239,225,14,0,0
State,Idaho,2016-08,1244,989,34,16,205
State,Illinois,2016-08,1824,1036,22,46,720
State,Indiana,2016-08,1917,1398,82,25,412
State,Iowa,2016-08,2117,1267,30,6,814
State,Kansas,2016-08,995,478,48,10,459
State,Kentucky,2016-08,1287,769,12,160,346
State,Louisiana,2016-08,1568,1267,30,16,255
State,Maine,2016-08,391,350,8,7,26
State,Maryland,2016-08,1146,978,14,3,151
State,Massachusetts,2016-08,1080,834,48,10,188
State,Michigan,2016-08,2325,1620,62,27,616
State,Minnesota,2016-08,2795,1536,36,62,1161
State,Mississippi,2016-08,584,564,0,0,20
State,Missouri,2016-08,1680,1185,40,34,421
State,Montana,2016-08,384,268,8,8,100
State,Nebraska,2016-08,744,516,40,4,184
State,Nevada,2016-08,1187,893,22,0,272
State,New Hampshire,2016-08,314,211,32,14,57
State,New Jersey,2016-08,2539,728,70,37,1704
State,New Mexico,2016-08,414,384,0,4,26
State,New York,2016-08,3289,1089,136,99,1965
State,North Carolina,2016-08,5362,3813,38,19,1492
State,North Dakota,2016-08,457,268,2,0,187
State,Ohio,2016-08,2426,1466,26,101,833
State,Oklahoma,2016-08,1613,852,74,3,684
State,Oregon,2016-08,1982,1002,42,63,875
State,Pennsylvania,2016-08,1794,1305,96,49,344
State,Rhode Island,2016-08,112,83,6,18,5
State,South Carolina,2016-08,3028,2510,8,6,504
State,South Dakota,2016-08,526,337,8,32,149
State,Tennessee,2016-08,3078,2330,116,38,594
State,Texas,2016-08,14614,9689,92,178,4655
State,Utah,2016-08,1996,1495,24,21,456
State,Vermont,2016-08,232,136,4,10,82
State,Virginia,2016-08,2971,2068,4,25,874
State,Washington,2016-08,2987,1946,36,41,964
State,West Virginia,2016-08,213,189,6,3,15
State,Wisconsin,2016-08,1862,1129,56,13,664
State,Wyoming,2016-08,146,127,8,11,0
Metro,Bakersfield,2016-09,160,152,0,0,8
Metro,Chico,2016-09,46,7,0,0,39
Metro,El Centro,2016-09,6,6,0,0,0
Metro,Fresno,2016-09,216,194,0,0,22
Metro,Inland Empire,2016-09,665,632,0,0,33
Metro,Los Angeles,2016-09,2553,615,76,62,1800
Metro,Madera,2016-09,13,13,0,0,0
Metro,Merced,2016-09,20,20,0,0,0
Metro,Modesto,2016-09,4,4,0,0,0
Metro,Redding,2016-09,9,9,0,0,0
Metro,Sacramento,2016-09,691,583,54,4,50
Metro,Salinas,2016-09,30,20,0,4,6
Metro,San Diego,2016-09,478,178,4,32,264
Metro,San Francisco,2016-09,1723,379,8,6,1330
Metro,San Jose,2016-09,638,192,2,0,444
Metro,San Luis Obispo,2016-09,26,26,0,0,0
Metro,Santa Barbara,2016-09,3,3,0,0,0
Metro,Santa Cruz,2016-09,24,9,0,3,12
Metro,Santa Rosa,2016-09,102,32,0,0,70
Metro,Stockton,2016-09,91,91,0,0,0
Metro,Vallejo,2016-09,51,51,0,0,0
Metro,Ventura,2016-09,65,15,0,4,46
Metro,Visalia,2016-09,129,129,0,0,0
State,Alabama,2016-09,1265,898,14,3,350
State,Alaska,2016-09,168,91,8,4,65
State,Arizona,2016-09,3514,1917,44,14,1539
State,Arkansas,2016-09,598,519,44,7,28
State,California,2016-09,8355,3972,144,115,4124
State,Colorado,2016-09,3568,1732,38,12,1786
State,Connecticut,2016-09,631,201,28,30,372
State,Delaware,2016-09,496,413,24,3,56
State,Florida,2016-09,9987,6305,158,123,3401
State,Georgia,2016-09,3699,2912,4,35,748
State,Hawaii,2016-09,349,168,6,0,175
State,Idaho,2016-09,837,771,4,6,56
State,Illinois,2016-09,2223,1013,32,85,1093
State,Indiana,2016-09,1705,1265,32,12,396
State,Iowa,2016-09,1328,848,6,14,460
State,Kansas,2016-09,732,406,32,9,285
State,Kentucky,2016-09,966,668,38,23,237
State,Louisiana,2016-09,1980,1170,492,3,315
State,Maine,2016-09,348,312,8,3,25
State,Maryland,2016-09,1088,838,0,0,250
State,Massachusetts,2016-09,2006,630,38,44,1294
State,Michigan,2016-09,2492,1641,78,16,757
State,Minnesota,2016-09,2563,1352,44,8,1159
State,Mississippi,2016-09,564,534,2,0,28
State,Missouri,2016-09,1581,923,34,46,578
State,Montana,2016-09,730,178,22,186,344
State,Nebraska,2016-09,730,410,12,0,308
State,Nevada,2016-09,1164,988,0,6,170
State,New Hampshire,2016-09,334,290,10,3,31
State,New Jersey,2016-09,1972,747,70,6,1149
State,New Mexico,2016-09,410,312,4,8,86
State,New York,2016-09,4386,1246,104,153,2883
State,North Carolina,2016-09,5124,3425,16,16,1667
State,North Dakota,2016-09,480,286,2,0,192
State,Ohio,2016-09,2445,1325,22,79,1019
State,Oklahoma,2016-09,837,800,24,7,6
State,Oregon,2016-09,1520,845,22,0,653
State,Pennsylvania,2016-09,2220,1331,26,47,816
State,Rhode Island,2016-09,91,76,8,7,0
State,South Carolina,2016-09,2759,2137,16,7,599
State,South Dakota,2016-09,545,301,28,12,204
State,Tennessee,2016-09,2704,2197,8,51,448
State,Texas,2016-09,13805,8552,156,38,5059
State,Utah,2016-09,1918,1277,20,37,584
State,Vermont,2016-09,165,147,2,0,16
State,Virginia,2016-09,2605,1735,2,12,856
State,Washington,2016-09,4483,1645,48,63,2727
State,West Virginia,2016-09,235,200,4,8,23
State,Wisconsin,2016-09,1758,1197,50,7,504
State,Wyoming,2016-09,162,134,8,8,12
Metro,Bakersfield,2016-10,156,146,2,0,8
Metro,Chico,2016-10,33,33,0,0,0
Metro,El Centro,2016-10,15,15,0,0,0
Metro,Fresno,2016-10,186,171,2,8,5
Metro,Inland Empire,2016-10,807,616,0,7,184
Metro,Los Angeles,2016-10,2450,662,80,56,1652
Metro,Madera,2016-10,17,17,0,0,0
Metro,Merced,2016-10,19,19,0,0,0
Metro,Modesto,2016-10,0,0,0,0,0
Metro,Redding,2016-10,8,8,0,0,0
Metro,Sacramento,2016-10,543,523,20,0,0
Metro,Salinas,2016-10,24,20,0,4,0
Metro,San Diego,2016-10,889,174,4,20,691
Metro,San Francisco,2016-10,1399,507,6,28,858
Metro,San Jose,2016-10,828,121,2,19,686
Metro,San Luis Obispo,2016-10,27,27,0,0,0
Metro,Santa Barbara,2016-10,24,11,0,0,13
Metro,Santa Cruz,2016-10,17,8,0,0,9
Metro,Santa Rosa,2016-10,25,23,2,0,0
Metro,Stockton,2016-10,119,119,0,0,0
Metro,Vallejo,2016-10,47,47,0,0,0
Metro,Ventura,2016-10,54,8,0,3,43
Metro,Visalia,2016-10,79,79,0,0,0
State,Alabama,2016-10,1080,794,2,22,262
State,Alaska,2016-10,117,94,4,3,16
State,Arizona,2016-10,2174,1899,10,17,248
State,Arkansas,2016-10,813,756,28,7,22
State,California,2016-10,8274,3862,118,145,4149
State,Colorado,2016-10,4076,1687,14,3,2372
State,Connecticut,2016-10,524,270,12,55,187
State,Delaware,2016-10,500,371,34,3,92
State,Florida,2016-10,10156,5589,46,104,4417
State,Georgia,2016-10,4730,2881,10,11,1828
State,Hawaii,2016-10,178,178,0,0,0
State,Idaho,2016-10,918,781,2,20,115
State,Illinois,2016-10,3302,1113,10,61,2118
State,Indiana,2016-10,1815,1264,22,20,509
State,Iowa,2016-10,1182,844,44,0,294
State,Kansas,2016-10,611,490,22,3,96
State,Kentucky,2016-10,999,560,16,30,393
State,Louisiana,2016-10,1257,1086,34,8,129
State,Maine,2016-10,354,343,8,3,0
State,Maryland,2016-10,987,806,2,0,179
State,Massachusetts,2016-10,1052,673,42,27,310
State,Michigan,2016-10,2360,1287,48,19,1006
State,Minnesota,2016-10,2401,1137,42,58,1164
State,Mississippi,2016-10,554,533,4,3,14
State,Missouri,2016-10,1845,814,18,44,969
State,Montana,2016-10,426,267,12,4,143
State,Nebraska,2016-10,819,441,10,0,368
State,Nevada,2016-10,1044,880,0,0,164
State,New Hampshire,2016-10,391,295,8,3,85
State,New Jersey,2016-10,1594,839,68,18,669
State,New Mexico,2016-10,314,291,0,0,23
State,New York,2016-10,2642,1181,76,92,1293
State,North Carolina,2016-10,4786,3404,30,10,1342
State,North Dakota,2016-10,481,281,2,4,194
State,Ohio,2016-10,1811,1274,70,29,438
State,Oklahoma,2016-10,927,823,36,8,60
State,Oregon,2016-10,1529,944,20,3,562
State,Pennsylvania,2016-10,1989,1334,44,14,597
State,Rhode Island,2016-10,99,70,6,23,0
State,South Carolina,2016-10,2223,1976,10,0,237
State,South Dakota,2016-10,454,334,4,0,116
State,Tennessee,2016-10,2923,2222,102,38,561
State,Texas,2016-10,12128,8600,88,45,3395
State,Utah,2016-10,2764,1283,6,29,1446
State,Vermont,2016-10,167,150,2,0,15
State,Virginia,2016-10,1709,1416,22,12,259
State,Washington,2016-10,4078,1690,54,32,2302
State,West Virginia,2016-10,284,209,2,8,65
State,Wisconsin,2016-10,2038,1086,48,134,770
State,Wyoming,2016-10,144,129,4,6,5
Metro,Bakersfield,2016-11,146,137,0,3,6
Metro,Chico,2016-11,113,19,0,7,87
Metro,El Centro,2016-11,1,1,0,0,0
Metro,Fresno,2016-11,243,217,0,6,20
Metro,Inland Empire,2016-11,697,486,0,29,182
Metro,Los Angeles,2016-11,2163,730,92,49,1292
Metro,Madera,2016-11,16,16,0,0,0
Metro,Merced,2016-11,4,4,0,0,0
Metro,Modesto,2016-11,0,0,0,0,0
Metro,Redding,2016-11,19,19,0,0,0
Metro,Sacramento,2016-11,621,576,14,0,31
Metro,Salinas,2016-11,33,22,2,4,5
Metro,San Diego,2016-11,843,182,4,28,629
Metro,San Francisco,2016-11,1596,368,6,6,1216
Metro,San Jose,2016-11,364,145,0,0,219
Metro,San Luis Obispo,2016-11,25,25,0,0,0
Metro,Santa Barbara,2016-11,6,6,0,0,0
Metro,Santa Cruz,2016-11,22,9,0,3,10
Metro,Santa Rosa,2016-11,54,54,0,0,0
Metro,Stockton,2016-11,155,130,0,0,25
Metro,Vallejo,2016-11,63,63,0,0,0
Metro,Ventura,2016-11,74,24,6,4,40
Metro,Visalia,2016-11,83,81,2,0,0
State,Alabama,2016-11,927,758,16,7,146
State,Alaska,2016-11,99,72,8,3,16
State,Arizona,2016-11,2958,1791,8,8,1151
State,Arkansas,2016-11,513,466,32,0,15
State,California,2016-11,7830,3803,126,139,3762
State,Colorado,2016-11,3644,1649,8,4,1983
State,Connecticut,2016-11,245,183,8,7,47
State,Delaware,2016-11,473,401,20,10,42
State,Florida,2016-11,8240,5245,58,74,2863
State,Georgia,2016-11,3540,2587,0,24,929
State,Hawaii,2016-11,322,174,4,24,120
State,Idaho,2016-11,897,700,2,64,131
State,Illinois,2016-11,1327,788,28,94,417
State,Indiana,2016-11,1442,1155,52,20,215
State,Iowa,2016-11,1448,671,46,21,710
State,Kansas,2016-11,522,439,28,7,48
State,Kentucky,2016-11,1160,645,32,23,460
State,Louisiana,2016-11,1037,957,20,3,57
State,Maine,2016-11,316,280,4,3,29
State,Maryland,2016-11,1004,821,2,0,181
State,Massachusetts,2016-11,1110,590,32,46,442
State,Michigan,2016-11,1814,1217,82,28,487
State,Minnesota,2016-11,2361,961,64,87,1249
State,Mississippi,2016-11,619,538,20,3,58
State,Missouri,2016-11,1786,928,106,107,645
State,Montana,2016-11,227,170,8,4,45
State,Nebraska,2016-11,573,394,6,0,173
State,Nevada,2016-11,932,819,2,0,111
State,New Hampshire,2016-11,381,224,10,21,126
State,New Jersey,2016-11,1847,856,78,28,885
State,New Mexico,2016-11,575,325,0,7,243
State,New York,2016-11,2773,774,70,76,1853
State,North Carolina,2016-11,4441,3078,18,0,1345
State,North Dakota,2016-11,291,132,2,3,154
State,Ohio,2016-11,1704,1303,20,51,330
State,Oklahoma,2016-11,670,633,28,4,5
State,Oregon,2016-11,1514,820,32,4,658
State,Pennsylvania,2016-11,1881,1288,36,68,489
State,Rhode Island,2016-11,96,81,6,3,6
State,South Carolina,2016-11,2452,1905,8,0,539
State,South Dakota,2016-11,347,228,2,4,113
State,Tennessee,2016-11,2230,1878,0,45,307
State,Texas,2016-11,12680,7671,226,202,4581
State,Utah,2016-11,2468,1340,2,38,1088
State,Vermont,2016-11,126,105,2,0,19
State,Virginia,2016-11,2210,1403,0,41,766
State,Washington,2016-11,3649,1515,50,60,2024
State,West Virginia,2016-11,206,155,4,3,44
State,Wisconsin,2016-11,1197,839,90,22,246
State,Wyoming,2016-11,129,111,2,11,5
Metro,Bakersfield,2016-12,181,170,0,3,8
Metro,Chico,2016-12,71,23,0,0,48
Metro,El Centro,2016-12,18,18,0,0,0
Metro,Fresno,2016-12,486,353,0,0,133
Metro,Inland Empire,2016-12,1142,787,72,10,273
Metro,Los Angeles,2016-12,3038,862,16,75,1985
Metro,Madera,2016-12,57,57,0,0,0
Metro,Merced,2016-12,13,13,0,0,0
Metro,Modesto,2016-12,7,7,0,0,0
Metro,Redding,2016-12,18,18,0,0,0
Metro,Sacramento,2016-12,731,559,2,0,170
Metro,Salinas,2016-12,23,9,0,3,11
Metro,San Diego,2016-12,785,155,12,17,601
Metro,San Francisco,2016-12,1490,344,6,9,1131
Metro,San Jose,2016-12,842,149,0,14,679
Metro,San Luis Obispo,2016-12,27,27,0,0,0
Metro,Santa Barbara,2016-12,9,6,0,3,0
Metro,Santa Cruz,2016-12,22,9,0,3,10
Metro,Santa Rosa,2016-12,81,75,0,0,6
Metro,Stockton,2016-12,148,121,0,0,27
Metro,Vallejo,2016-12,24,24,0,0,0
Metro,Ventura,2016-12,138,32,2,8,96
Metro,Visalia,2016-12,153,153,0,0,0
State,Alabama,2016-12,951,818,8,7,118
State,Alaska,2016-12,94,71,4,3,16
State,Arizona,2016-12,3401,1916,40,8,1437
State,Arkansas,2016-12,762,417,78,3,264
State,California,2016-12,10450,4968,210,145,5127
State,Colorado,2016-12,2864,1726,8,6,1124
State,Connecticut,2016-12,226,178,8,8,32
State,Delaware,2016-12,450,386,16,20,28
State,Florida,2016-12,9858,5884,204,134,3636
State,Georgia,2016-12,4269,3033,2,24,1210
State,Hawaii,2016-12,197,191,0,0,6
State,Idaho,2016-12,650,505,4,39,102
State,Illinois,2016-12,1222,559,12,42,609
State,Indiana,2016-12,1082,778,42,30,232
State,Iowa,2016-12,848,472,2,3,371
State,Kansas,2016-12,386,305,16,19,46
State,Kentucky,2016-12,712,496,8,23,185
State,Louisiana,2016-12,1074,1020,24,7,23
State,Maine,2016-12,314,278,12,3,21
State,Maryland,2016-12,991,896,2,0,93
State,Massachusetts,2016-12,935,516,56,9,354
State,Michigan,2016-12,1171,885,32,0,254
State,Minnesota,2016-12,2081,904,0,46,1131
State,Mississippi,2016-12,549,475,26,4,44
State,Missouri,2016-12,1475,729,50,20,676
State,Montana,2016-12,233,134,2,49,48
State,Nebraska,2016-12,569,304,18,0,247
State,Nevada,2016-12,1914,831,0,0,1083
State,New Hampshire,2016-12,387,141,22,7,217
State,New Jersey,2016-12,2536,783,76,21,1656
State,New Mexico,2016-12,335,305,2,4,24
State,New York,2016-12,3367,593,72,96,2606
State,North Carolina,2016-12,3792,3073,24,0,695
State,North Dakota,2016-12,150,31,2,0,117
State,Ohio,2016-12,1301,997,112,26,166
State,Oklahoma,2016-12,724,695,14,3,12
State,Oregon,2016-12,1066,702,12,4,348
State,Pennsylvania,2016-12,1469,1079,30,94,266
State,Rhode Island,2016-12,109,97,6,6,0
State,South Carolina,2016-12,2223,2057,12,0,154
State,South Dakota,2016-12,249,84,8,0,157
State,Tennessee,2016-12,3304,1881,12,48,1363
State,Texas,2016-12,11678,8030,134,75,3439
State,Utah,2016-12,1411,1028,6,46,331
State,Vermont,2016-12,122,56,2,3,61
State,Virginia,2016-12,2224,1778,78,23,345
State,Washington,2016-12,3702,1484,48,56,2114
State,West Virginia,2016-12,151,130,4,3,14
State,Wisconsin,2016-12,926,635,38,6,247
State,Wyoming,2016-12,87,81,2,4,0
Metro,Bakersfield,2017-01,137,132,0,0,5
Metro,Chico,2017-01,65,23,2,0,40
Metro,El Centro,2017-01,5,5,0,0,0
Metro,Fresno,2017-01,84,68,0,0,16
Metro,Inland Empire,2017-01,571,501,14,4,52
Metro,Los Angeles,2017-01,1680,580,76,30,994
Metro,Madera,2017-01,50,50,0,0,0
Metro,Merced,2017-01,12,12,0,0,0
Metro,Modesto,2017-01,0,0,0,0,0
Metro,Redding,2017-01,6,6,0,0,0
Metro,Sacramento,2017-01,803,543,12,0,248
Metro,Salinas,2017-01,83,20,0,3,60
Metro,San Diego,2017-01,166,131,0,4,31
Metro,San Francisco,2017-01,839,202,8,4,625
Metro,San Jose,2017-01,210,125,2,15,68
Metro,San Luis Obispo,2017-01,22,22,0,0,0
Metro,Santa Barbara,2017-01,13,13,0,0,0
Metro,Santa Cruz,2017-01,12,6,0,0,6
Metro,Santa Rosa,2017-01,19,19,0,0,0
Metro,Stockton,2017-01,76,52,0,6,18
Metro,Vallejo,2017-01,59,59,0,0,0
Metro,Ventura,2017-01,141,9,0,3,129
Metro,Visalia,2017-01,90,90,0,0,0
State,Alabama,2017-01,1083,886,6,10,181
State,Alaska,2017-01,70,57,0,3,10
State,Arizona,2017-01,2484,1745,14,20,705
State,Arkansas,2017-01,754,551,48,11,144
State,California,2017-01,5376,3003,114,69,2190
State,Colorado,2017-01,3146,1482,24,24,1616
State,Connecticut,2017-01,317,188,0,0,129
State,Delaware,2017-01,396,348,8,3,37
State,Florida,2017-01,10023,6041,76,81,3825
State,Georgia,2017-01,4423,2924,14,16,1469
State,Hawaii,2017-01,252,180,0,0,72
State,Idaho,2017-01,413,384,0,12,17
State,Illinois,2017-01,751,497,10,43,201
State,Indiana,2017-01,1124,868,6,3,247
State,Iowa,2017-01,416,249,8,0,159
State,Kansas,2017-01,497,394,22,12,69
State,Kentucky,2017-01,698,471,36,12,179
State,Louisiana,2017-01,1121,1082,2,3,34
State,Maine,2017-01,208,166,8,3,31
State,Maryland,2017-01,1042,915,6,0,121
State,Massachusetts,2017-01,784,463,30,9,282
State,Michigan,2017-01,1208,724,6,3,475
State,Minnesota,2017-01,1521,560,2,7,952
State,Mississippi,2017-01,920,465,12,3,440
State,Missouri,2017-01,1070,691,10,28,341
State,Montana,2017-01,134,88,18,11,17
State,Nebraska,2017-01,351,254,2,0,95
State,Nevada,2017-01,1314,809,0,16,489
State,New Hampshire,2017-01,172,153,2,0,17
State,New Jersey,2017-01,2104,838,86,6,1174
State,New Mexico,2017-01,280,259,4,0,17
State,New York,2017-01,4548,643,88,30,3787
State,North Carolina,2017-01,4304,3442,22,4,836
State,North Dakota,2017-01,65,23,0,0,42
State,Ohio,2017-01,2037,963,14,10,1050
State,Oklahoma,2017-01,964,717,22,4,221
State,Oregon,2017-01,1464,685,22,0,757
State,Pennsylvania,2017-01,1353,896,54,70,333
State,Rhode Island,2017-01,84,75,4,0,5
State,South Carolina,2017-01,2633,2185,12,3,433
State,South Dakota,2017-01,257,98,0,7,152
State,Tennessee,2017-01,2322,2136,28,30,128
State,Texas,2017-01,15236,9250,186,104,5696
State,Utah,2017-01,1380,916,12,11,441
State,Vermont,2017-01,66,49,0,3,14
State,Virginia,2017-01,2282,1704,6,25,547
State,Washington,2017-01,2777,1495,58,67,1157
State,West Virginia,2017-01,206,138,2,4,62
State,Wisconsin,2017-01,679,425,26,3,225
State,Wyoming,2017-01,63,54,2,7,0
Metro,Bakersfield,2017-02,160,155,0,0,5
Metro,Chico,2017-02,37,37,0,0,0
Metro,El Centro,2017-02,5,5,0,0,0
Metro,Fresno,2017-02,103,98,0,0,5
Metro,Inland Empire,2017-02,846,630,14,114,88
Metro,Los Angeles,2017-02,1517,727,86,46,658
Metro,Madera,2017-02,2,2,0,0,0
Metro,Merced,2017-02,13,13,0,0,0
Metro,Modesto,2017-02,5,5,0,0,0
