Geographic Level,Location,Date,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More
State,Georgia,2010-03,1790,1693,38,3,56
State,Hawaii,2010-03,456,125,0,0,331
State,Idaho,2010-03,590,581,4,0,5
State,Illinois,2010-03,1027,853,24,4,146
State,Indiana,2010-03,1386,1125,50,18,193
State,Iowa,2010-03,820,626,30,12,152
State,Kansas,2010-03,465,357,20,43,45
State,Kentucky,2010-03,794,712,6,7,69
State,Louisiana,2010-03,1192,1128,10,16,38
State,Maine,2010-03,197,193,4,0,0
State,Maryland,2010-03,1600,878,4,3,715
State,Massachusetts,2010-03,532,443,22,3,64
State,Michigan,2010-03,706,687,0,4,15
State,Minnesota,2010-03,1038,687,2,11,338
State,Mississippi,2010-03,470,466,4,0,0
State,Missouri,2010-03,982,732,26,47,177
State,Montana,2010-03,197,167,10,20,0
State,Nebraska,2010-03,394,345,10,22,17
State,Nevada,2010-03,864,858,0,6,0
State,New Hampshire,2010-03,170,158,4,0,8
State,New Jersey,2010-03,1087,720,58,15,294
State,New Mexico,2010-03,518,427,6,6,79
State,New York,2010-03,1500,876,66,54,504
State,North Carolina,2010-03,3680,3287,20,90,283
State,North Dakota,2010-03,177,144,0,3,30
State,Ohio,2010-03,1588,1170,50,55,313
State,Oklahoma,2010-03,931,886,28,0,17
State,Oregon,2010-03,693,632,10,0,51
State,Pennsylvania,2010-03,1719,1480,70,21,148
State,Rhode Island,2010-03,70,70,0,0,0
State,South Carolina,2010-03,1947,1710,16,6,215
State,South Dakota,2010-03,247,233,4,3,7
State,Tennessee,2010-03,1899,1502,48,15,334
State,Texas,2010-03,9741,7988,64,318,1371
State,Utah,2010-03,1005,846,12,62,85
State,Vermont,2010-03,61,57,4,0,0
State,Virginia,2010-03,2473,1838,0,8,627
State,Washington,2010-03,1778,1659,80,20,19
State,West Virginia,2010-03,173,150,2,0,21
State,Wisconsin,2010-03,890,750,54,43,43
State,Wyoming,2010-03,176,173,0,3,0
Metro,Bakersfield,2010-04,115,115,0,0,0
Metro,Chico,2010-04,29,27,2,0,0
Metro,El Centro,2010-04,15,15,0,0,0
Metro,Fresno,2010-04,161,158,0,3,0
Metro,Hanford,2010-04,10,10,0,0,0
Metro,Inland Empire,2010-04,500,495,0,0,5
Metro,Los Angeles,2010-04,893,403,34,21,435
Metro,Madera,2010-04,11,9,2,0,0
Metro,Merced,2010-04,9,9,0,0,0
Metro,Modesto,2010-04,25,25,0,0,0
Metro,Napa,2010-04,11,11,0,0,0
Metro,Redding,2010-04,12,12,0,0,0
Metro,Sacramento,2010-04,205,186,2,3,14
Metro,Salinas,2010-04,14,10,0,4,0
Metro,San Diego,2010-04,290,253,8,8,21
Metro,San Francisco,2010-04,384,261,0,23,100
Metro,San Jose,2010-04,154,91,0,4,59
Metro,San Luis Obispo,2010-04,28,23,0,0,5
Metro,Santa Barbara,2010-04,15,15,0,0,0
Metro,Santa Cruz,2010-04,5,5,0,0,0
Metro,Santa Rosa,2010-04,23,23,0,0,0
Metro,Stockton,2010-04,48,48,0,0,0
Metro,Vallejo,2010-04,59,59,0,0,0
