Year,Geographic Level,Location,Race/Ethnicity,Tenure,Number Over 30%,Number Over 50%,Share Over 30%,Share Over 50%
2012,County,Butte,White,Owned,11819,5729,0.2729309071277018,0.1322972475360705
2012,County,Butte,White,Owned With Mortgage,9868,4508,0.3496810772039688,0.1597448620267895
2012,County,Butte,White,Owned Without Mortgage,1951,1221,0.1293423497834128,0.0809466986539379
2012,County,Butte,White,Rented,15666,9287,0.6610963415839979,0.3919061487819977
2012,County,Butte,White,Total,27485,15016,0.4102177579429411,0.2241160582128028
2012,County,Calaveras,AIAN,Owned,258,119,0.2015625,0.09296875
2012,County,Calaveras,AIAN,Owned With Mortgage,138,25,0.204747774,0.037091988
2012,County,Calaveras,AIAN,Owned Without Mortgage,120,94,0.198019802,0.155115512
2012,County,Calaveras,AIAN,Rented,488,78,0.421416235,0.067357513
2012,County,Calaveras,AIAN,Total,746,197,0.305988515,0.080803938
2012,County,Calaveras,All,Owned,17802,7983,0.346706657,0.155474623
2012,County,Calaveras,All,Owned With Mortgage,13427,6126,0.441227695,0.201307877
2012,County,Calaveras,All,Owned Without Mortgage,4375,1857,0.2091800139999999,0.088787951
2012,County,Calaveras,All,Rented,10007,4284,0.571861249,0.244813989
2012,County,Calaveras,All,Total,27809,12267,0.403936379,0.178182875
2012,County,Calaveras,Asian,Owned,133,56,0.689119171,0.29015544
2012,County,Calaveras,Asian,Owned With Mortgage,75,56,1.0,0.746666667
2012,County,Calaveras,Asian,Owned Without Mortgage,58,0,0.491525424,0.0
2012,County,Calaveras,Asian,Rented,80,0,0.519480519,0.0
2012,County,Calaveras,Asian,Total,213,56,0.613832853,0.161383285
2012,County,Calaveras,Black,Owned,87,87,1.0,1.0
2012,County,Calaveras,Black,Owned With Mortgage,87,87,1.0,1.0
2012,County,Calaveras,Black,Rented,218,0,1.0,0.0
2012,County,Calaveras,Black,Total,305,87,1.0,0.285245902
2012,County,Calaveras,Hispanic,Owned,1057,133,0.388460125,0.048879089
2012,County,Calaveras,Hispanic,Owned With Mortgage,777,133,0.456521739,0.078143361
2012,County,Calaveras,Hispanic,Owned Without Mortgage,280,0,0.274779195,0.0
2012,County,Calaveras,Hispanic,Rented,1007,692,0.477025107,0.327806727
2012,County,Calaveras,Hispanic,Total,2064,825,0.427152318,0.170736755
2012,County,Calaveras,Multiracial,Owned,186,97,0.137472284,0.071692535
2012,County,Calaveras,Multiracial,Owned With Mortgage,97,97,0.144560358,0.144560358
2012,County,Calaveras,Multiracial,Owned Without Mortgage,89,0,0.130498534,0.0
2012,County,Calaveras,Multiracial,Rented,57,0,0.289340102,0.0
2012,County,Calaveras,Multiracial,Total,243,97,0.156774194,0.062580645
2012,County,Calaveras,NHPI,Rented,9,0,1.0,0.0
2012,County,Calaveras,NHPI,Total,9,0,1.0,0.0
2012,County,Calaveras,White,Owned,16081,7491,0.351789464,0.163873819
2012,County,Calaveras,White,Owned With Mortgage,12253,5728,0.450113878,0.2104180439999999
2012,County,Calaveras,White,Owned Without Mortgage,3828,1763,0.207030827,0.095348837
2012,County,Calaveras,White,Rented,8148,3514,0.596835628,0.257398183
2012,County,Calaveras,White,Total,24229,11005,0.408142982,0.185381713
2012,County,Colusa,AIAN,Owned,34,11,0.063670412,0.020599251
2012,County,Colusa,AIAN,Owned With Mortgage,0,0,0.0,0.0
2012,County,Colusa,AIAN,Owned Without Mortgage,34,11,0.069672131,0.022540984
2012,County,Colusa,AIAN,Rented,57,0,0.122317597,0.0
2012,County,Colusa,AIAN,Total,91,11,0.091,0.011
2012,County,Colusa,All,Owned,8554,3349,0.296818071,0.116208057
2012,County,Colusa,All,Owned With Mortgage,6727,2623,0.390401021,0.15222564
2012,County,Colusa,All,Owned Without Mortgage,1827,726,0.1576631,0.062651018
2012,County,Colusa,All,Rented,6800,3005,0.476624378,0.21062592
2012,County,Colusa,All,Total,15354,6354,0.356357053,0.147472497
2012,County,Colusa,Asian,Owned,0,0,0.0,0.0
2012,County,Colusa,Asian,Owned With Mortgage,0,0,0.0,0.0
2012,County,Colusa,Asian,Owned Without Mortgage,0,0,0.0,0.0
2012,County,Colusa,Asian,Rented,92,0,0.368,0.0
2012,County,Colusa,Asian,Total,92,0,0.177263969,0.0
2012,County,Colusa,Black,Owned,0,0,0.0,0.0
2012,County,Colusa,Black,Owned Without Mortgage,0,0,0.0,0.0
2012,County,Colusa,Black,Total,0,0,0.0,0.0
2012,County,Colusa,Hispanic,Owned,1927,613,0.387726358,0.12334004
2012,County,Colusa,Hispanic,Owned With Mortgage,1801,502,0.488738128,0.136227951
2012,County,Colusa,Hispanic,Owned Without Mortgage,126,111,0.098054475,0.086381323
2012,County,Colusa,Hispanic,Rented,2887,1061,0.563977339,0.207267044
2012,County,Colusa,Hispanic,Total,4814,1674,0.477153335,0.165923283
2012,County,Colusa,Multiracial,Owned,173,147,0.662835249,0.563218391
